2026-07-26 20:29:39 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 20:29:39 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 20:29:39 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 20:29:47 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=b60ccf26-04ce-4ef1-a85a-d51f7aa083f9
2026-07-26 20:29:47 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=b60ccf26-04ce-4ef1-a85a-d51f7aa083f9
2026-07-26 20:59:12 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 20:59:12 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 20:59:12 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 20:59:17 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=824cd5d8-2ef1-4c01-8fd9-afe7d06c9ae2
2026-07-26 20:59:18 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_205917_864706.png
2026-07-26 20:59:18 | ERROR    | conftest | Test failed. Screenshot: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_205917_864706.png
2026-07-26 20:59:19 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=824cd5d8-2ef1-4c01-8fd9-afe7d06c9ae2
2026-07-26 20:59:33 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 20:59:33 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 20:59:33 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 20:59:37 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=ce514ca9-55aa-4455-8f97-969c806a94f3
2026-07-26 20:59:39 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_205938_278800.png
2026-07-26 20:59:39 | ERROR    | conftest | Test failed. Screenshot: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_205938_278800.png
2026-07-26 20:59:39 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=ce514ca9-55aa-4455-8f97-969c806a94f3
2026-07-26 21:00:12 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:00:12 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:00:12 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:00:16 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=e58ff698-c753-4cbf-8c4a-964283bda89d
2026-07-26 21:00:18 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_210017_104061.png
2026-07-26 21:00:18 | ERROR    | conftest | Test failed. Screenshot: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_application_launches_20260726_210017_104061.png
2026-07-26 21:00:18 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=e58ff698-c753-4cbf-8c4a-964283bda89d
